weaksubj	1	abandoned	adj	negative
weaksubj	1	abandonment	noun	negative
weaksubj	1	abandon	verb	negative
strongsubj	1	abase	verb	negative
strongsubj	1	abasement	anypos	negative
strongsubj	1	abash	verb	negative
weaksubj	1	abate	verb	negative
weaksubj	1	abdicate	verb	negative
strongsubj	1	aberration	adj	negative
strongsubj	1	aberration	noun	negative
strongsubj	1	abhor	anypos	negative
strongsubj	1	abhor	verb	negative
strongsubj	1	abhorred	adj	negative
strongsubj	1	abhorrence	noun	negative
strongsubj	1	abhorrent	adj	negative
strongsubj	1	abhorrently	anypos	negative
strongsubj	1	abhors	adj	negative
strongsubj	1	abhors	noun	negative
strongsubj	1	abidance	adj	positive
strongsubj	1	abidance	noun	positive
strongsubj	1	abide	anypos	positive
strongsubj	1	abject	adj	negative
strongsubj	1	abjectly	adverb	negative
weaksubj	1	abjure	verb	negative
weaksubj	1	abilities	noun	positive
weaksubj	1	ability	noun	positive
weaksubj	1	able	adj	positive
weaksubj	1	abnormal	adj	negative
weaksubj	1	abolish	verb	negative
strongsubj	1	abominable	adj	negative
strongsubj	1	abominably	anypos	negative
strongsubj	1	abominate	verb	negative
strongsubj	1	abomination	noun	negative
weaksubj	1	above	anypos	positive
weaksubj	1	above-average	adj	positive
weaksubj	1	abound	verb	positive
weaksubj	1	abrade	verb	negative
strongsubj	1	abrasive	adj	negative
weaksubj	1	abrupt	adj	negative
strongsubj	1	abscond	verb	negative
weaksubj	1	absence	noun	negative
weaksubj	1	absentee	anypos	negative
strongsubj	1	absent-minded	adj	negative
strongsubj	1	absolve	verb	positive
strongsubj	1	absolute	adj	neutral
strongsubj	1	absolutely	adj	neutral
weaksubj	1	absorbed	verb	neutral
strongsubj	1	absurd	adj	negative
strongsubj	1	absurdity	noun	negative
strongsubj	1	absurdly	anypos	negative
strongsubj	1	absurdness	noun	negative
weaksubj	1	abundant	adj	positive
weaksubj	1	abundance	noun	positive
weaksubj	1	abuse	adj	negative
weaksubj	1	abuse	noun	negative
strongsubj	1	abuse	verb	negative
weaksubj	1	abuses	adj	negative
weaksubj	1	abuses	noun	negative
strongsubj	1	abusive	adj	negative
strongsubj	1	abysmal	adj	negative
strongsubj	1	abysmally	anypos	negative
strongsubj	1	abyss	noun	negative
strongsubj	1	accede	verb	positive
strongsubj	1	accentuate	verb	neutral
weaksubj	1	accept	verb	positive
weaksubj	1	acceptance	noun	positive
weaksubj	1	acceptable	adj	positive
weaksubj	1	accessible	adj	positive
weaksubj	1	accidental	adj	negative
strongsubj	1	acclaim	noun	positive
strongsubj	1	acclaim	verb	positive
strongsubj	1	acclaimed	adj	positive
strongsubj	1	acclamation	anypos	positive
strongsubj	1	accolade	noun	positive
strongsubj	1	accolades	noun	positive
weaksubj	1	accommodative	adj	positive
weaksubj	1	accomplish	verb	positive
weaksubj	1	accomplishment	noun	positive
weaksubj	1	accomplishments	noun	positive
weaksubj	1	accord	verb	positive
weaksubj	1	accordance	noun	positive
weaksubj	1	accordantly	adverb	positive
weaksubj	1	accost	verb	negative
weaksubj	1	accountable	adj	negative
weaksubj	1	accurate	adj	positive
weaksubj	1	accurately	adj	positive
strongsubj	1	accursed	adj	negative
strongsubj	1	accusation	adj	negative
strongsubj	1	accusation	noun	negative
strongsubj	1	accusations	adj	negative
strongsubj	1	accusations	noun	negative
strongsubj	1	accuse	verb	negative
strongsubj	1	accuses	verb	negative
strongsubj	1	accusing	anypos	negative
strongsubj	1	accusingly	anypos	negative
strongsubj	1	acerbate	verb	negative
strongsubj	1	acerbic	adj	negative
strongsubj	1	acerbically	adverb	negative
strongsubj	1	ache	verb	negative
weaksubj	1	achievable	adj	positive
weaksubj	1	achieve	verb	positive
weaksubj	1	achievement	anypos	positive
weaksubj	1	achievements	anypos	positive
weaksubj	1	acknowledge	verb	positive
weaksubj	1	acknowledgement	noun	positive
weaksubj	1	acquit	verb	positive
strongsubj	1	acrid	adj	negative
strongsubj	1	acridly	anypos	negative
strongsubj	1	acridness	noun	negative
strongsubj	1	acrimonious	adj	negative
strongsubj	1	acrimoniously	anypos	negative
strongsubj	1	acrimony	noun	negative
weaksubj	1	active	adj	positive
strongsubj	1	activist	adj	neutral
strongsubj	1	activist	noun	neutral
strongsubj	1	actual	anypos	neutral
strongsubj	1	actuality	anypos	neutral
strongsubj	1	actually	anypos	neutral
